,ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
0,T30141152,Standard profile user - Validate global navigation menu,,C2478610,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2600, GQA-1876",Regression P0s,Fire Tablet,R110847,Global Navigation,1,,Passed,Nirupama Venkataraman,5/25/2023 10:20 PM,Regression,
1,T30141153,Kids profile user - Validate global navigation menu,,C2478611,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2600, GQA-1876",Regression P0s,Fire Tablet,R110847,Global Navigation,1,,Passed,Nirupama Venkataraman,5/25/2023 10:20 PM,Regression,
2,T30141157,Remove shows from My Stuff > My List tab using asset tiles,,C2478621,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2755, GQA-2760",Regression P0s,Fire Tablet,R110847,My Stuff,1,,Passed,Nirupama Venkataraman,5/25/2023 10:19 PM,Regression,
3,T30141156,Authenticated new user-Verify My list functionality,,C2478616,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2760,Regression P0s,Fire Tablet,R110847,My Stuff,1,,Passed,Nirupama Venkataraman,5/25/2023 10:19 PM,Regression,
4,T30141176,Validate Continue watching rail update behavior on Homepage,Murugan S,C2607139,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2823,Regression P0s,Fire Tablet,R110847,Continue Watching,1,,Passed,Murugan S,5/26/2023 3:33 AM,Regression,1.0.2.5
5,T30141150,Validate SIGN IN with multi user profile,,C2478602,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2054,Regression P0s,Fire Tablet,R110847,"Onboarding, Registration and Sign in",1,,Passed,Nirupama Venkataraman,5/25/2023 10:19 PM,Regression,
6,T30141164,Verify Signout from setting page,,C2483786,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2686, GQA-2744",Regression P0s,Fire Tablet,R110847,"Onboarding, Registration and Sign in",1,,Passed,Nirupama Venkataraman,5/25/2023 10:19 PM,Regression,
7,T30141151,Validate Lapsed/Inactive Subscription screen when user is signed in with lapsed user account,Abinaya Ayyappasamy,C2478606,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2046, GQA-2313",Regression P0s,Fire Tablet,R110847,"Onboarding, Registration and Sign in",1,,Passed,Abinaya Ayyappasamy,5/26/2023 3:15 AM,Regression,1.0.2.5 OD
8,T30141175,MVPD Sign In (3rd Party Credentials)] Lapsed MVPD User Chooses to Connect to a new MVPD Provider With a New BEAM Account,Gunda Gupta,C2606569,No lapsed MVPD account available,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2030,Regression P0s,Fire Tablet,R110847,MVPD,1,,Skipped,Gunda Gupta,5/26/2023 3:16 AM,Regression,1.0.2.5
9,T30141174,MVPD Sign In (3rd Party Credentials)]New or Existing MVPD User NOT Authorized for BEAM,Gunda Gupta,C2606358,,GCX-26266,,,,Android OD 5/25+,R110844,"Fire TV
iOS
Android
Fire Tab
Web
Android TV
DirecTV
Comcast
STB
iPad
iPhone",P0,"GQA-2052, GQA-19072",Regression P0s,Fire Tablet,R110847,MVPD,1,,Failed,Gunda Gupta,5/26/2023 3:22 AM,Regression,1.0.2.5
10,T30141180,MVPD Sign In (3rd Party Credentials) Lapsed MVPD User Chooses To Renew Subscription via DTC Flow,Gunda Gupta,C2611107,No lapsed MVPD account available,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2035, GQA-2208",Regression P0s,Fire Tablet,R110847,MVPD,1,,Skipped,Gunda Gupta,5/26/2023 3:16 AM,Regression,1.0.2.5
11,T30141190,Validate IAP Happy Path Purchase,,C2621492,,,,,,Android OD 5/25+,R110844,"Fire TV
iOS
Android
Fire Tab
Roku
Android TV
DirecTV
Comcast
STB
iPad
Samsung
iPhone",P0,"GQA-2266, GQA-2177, GQA-2091, GQA-2076, GQA-2077, GQA-2078, GQA-2725, GQA-2189",Regression P0s,Fire Tablet,R110847,Subscribe via IAP,2,,Passed,Kazi Al Hasan,5/25/2023 2:44 PM,Regression,
12,T30141185,Automatic Restore Purchase,,C2617194,,,,,,Android OD 5/25+,R110844,"Fire TV
iOS
Android
Fire Tab
Roku
Android TV
tvOS
iPad
iPhone",P0,GQA-2280,Regression P0s,Fire Tablet,R110847,Restore Purchase,2,,Passed,Kazi Al Hasan,5/25/2023 2:46 PM,Regression,
13,T30141191,Authenticated User:  Validating movie detail page via Movie tiles,Abinaya Ayyappasamy,C2621715,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2799, GQA-2684, GQA-2786",Regression P0s,Fire Tablet,R110847,Movie Detail Page,1,,Passed,Abinaya Ayyappasamy,5/26/2023 3:07 AM,Regression,1.0.2.5 OD
14,T30141160,Authenticated User - Verify Age Rating & Content Descriptors,Gunda Gupta,C2480314,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2254,Regression P0s,Fire Tablet,R110847,Age Rating & Content Descriptors,1,,Passed,Gunda Gupta,5/26/2023 2:28 AM,Regression,1.0.2.5
15,T30141188,Verify user can enter PiP mode,,C2620896,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
iPhone",P0,"GQA-2305, GQA-2558",Regression P0s,Fire Tablet,R110847,Watch and Playback experience,1,,Passed,Kazi Al Hasan,5/25/2023 4:45 PM,Regression,
16,T30141183,Authenticated User can play <AssetType> content,,C2614787,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2027, GQA-2131",Regression P0s,Fire Tablet,R110847,Core playback,1,,Passed,Kazi Al Hasan,5/25/2023 5:44 PM,Regression,
17,T30141161,Authenticated User - Verify Ad Pods & Ad Counter,,C2481415,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2547, GQA-2624",Regression P0s,Fire Tablet,R110847,Ads Playback,1,,Passed,Kazi Al Hasan,5/25/2023 5:47 PM,Regression,
18,T30141162,"Authenticated User - Validate Hidden Progress Bar, Pause/resume, Scrub Backward and Forward during Ad Playback",,C2481417,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2622,Regression P0s,Fire Tablet,R110847,Ads Playback,1,,Passed,Kazi Al Hasan,5/25/2023 5:48 PM,Regression,
19,T30141192,Adult pre-roll bumpers,Gunda Gupta,C2622616,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2733, GQA-2131, GQA-2574",Regression P0s,Fire Tablet,R110847,BEAM Pre- and Post-Roll Playback,1,,Passed,Gunda Gupta,5/26/2023 3:38 AM,Regression,
20,T30141198,Adult mid-roll bumpers,,C2624446,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2733, GQA-2697, GQA-2131, GQA-2574",Regression P0s,Fire Tablet,R110847,BEAM Pre- and Post-Roll Playback,1,,Passed,Kazi Al Hasan,5/25/2023 5:53 PM,Regression,
21,T30141173,Verify Autoplay Episodes behaviour when option sets to <AutoPlaySetting>,,C2605627,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2271,Regression P0s,Fire Tablet,R110847,Playback Settings,1,,Passed,Kazi Al Hasan,5/25/2023 6:11 PM,Regression,
22,T30141177,Verify interactions that  trigger the chrome to be shown,,C2611049,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Regression P0s,Fire Tablet,R110847,"VOD Timeline, Playback Controls & Transport Controls",1,,Passed,Kazi Al Hasan,5/25/2023 6:11 PM,Regression,
23,T30141178,Verify that user can pause any content,,C2611056,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Regression P0s,Fire Tablet,R110847,"VOD Timeline, Playback Controls & Transport Controls",1,,Passed,Kazi Al Hasan,5/25/2023 6:12 PM,Regression,
24,T30141179,Verify timeline indicators are displayed,,C2611059,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Regression P0s,Fire Tablet,R110847,"VOD Timeline, Playback Controls & Transport Controls",1,,Passed,Kazi Al Hasan,5/25/2023 6:13 PM,Regression,
25,T30141186,Verify user can use scrubbing to FF/Back video,,C2617219,,,,,,Android OD 5/25+,R110844,"Fire TV
iOS
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Regression P0s,Fire Tablet,R110847,"VOD Timeline, Playback Controls & Transport Controls",1,,Passed,Kazi Al Hasan,5/25/2023 6:14 PM,Regression,
26,T30141182,Verify cold start audio and text menu settings for adult profile with device CC settings set to ON,Murugan S,C2612525,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2316,Regression P0s,Fire Tablet,R110847,Audio and text menu,1,,Remove from Run,Murugan S,5/26/2023 3:18 AM,Regression,1.0.2.5
27,T30141184,Verify cold start audio and text menu settings for kids profile,Gunda Gupta,C2614810,"Based on the comment on this ticket - https://wbdstreaming.atlassian.net/browse/PLAY-8790?focusedCommentId=201826 marking it as """"Remove from run"""" as this is post launch fix",,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2316,Regression P0s,Fire Tablet,R110847,Audio and text menu,1,,Remove from Run,Gunda Gupta,5/26/2023 3:24 AM,Regression,1.0.2.5
28,T30141195,Verify R&A is <displayed> for <content type>,Murugan S,C2622785,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-1807,Regression P0s,Fire Tablet,R110847,Ratings & Advisories Overlay,1,,Passed,Murugan S,5/26/2023 3:17 AM,Regression,1.0.2.5
29,T30141193,Rating and Advisories do not display over pre-roll,Murugan S,C2622771,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-3958, GQA-2254",Regression P0s,Fire Tablet,R110847,Ratings & Advisories Overlay,1,,Passed,Murugan S,5/26/2023 3:17 AM,Regression,1.0.2.5
30,T30141194,R&A should display during intro,Murugan S,C2622774,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-1807,Regression P0s,Fire Tablet,R110847,Ratings & Advisories Overlay,1,,Passed,Murugan S,5/26/2023 3:25 AM,Regression,1.0.2.5
31,T30141189,Verify PiP player controls,Murugan S,C2620901,Tested on Fire Tab ,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
iPhone",P0,"GQA-2305, GQA-2558",Regression P0s,Fire Tablet,R110847,PIP,1,,Passed,Murugan S,5/26/2023 3:15 AM,Regression,1.0.2.5
32,T30141171,Offline user is able to navigate and edit the Downloads,,C2497052,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,GQA-2306,Regression P0s,Fire Tablet,R110847,Offline Downloads Page,1,,Passed,Nirupama Venkataraman,5/25/2023 10:18 PM,Regression,
33,T30141167,Unauthenticated Offline user is not prompted to visit the Downloads Page,Gunda Gupta,C2490891,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,GQA-2306,Regression P0s,Fire Tablet,R110847,Offline Downloads Page,1,,Passed,Gunda Gupta,5/26/2023 3:27 AM,Regression,1.0.2.5
34,T30141169,Authenticated adult profile with no downloads can see downloads of other profiles,,C2490903,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,GQA-2306,Regression P0s,Fire Tablet,R110847,Downloads page access and view,1,,Passed,Nirupama Venkataraman,5/25/2023 9:26 PM,Regression,
35,T30141170,User of a Kid's profile with downloads can not see downloads of other profiles,,C2490904,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,GQA-2306,Regression P0s,Fire Tablet,R110847,Downloads page access and view,1,,Passed,Nirupama Venkataraman,5/25/2023 9:34 PM,Regression,
36,T30141181,Verify default quality of downloads,,C2611213,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,GQA-2260,Regression P0s,Fire Tablet,R110847,Downloads Settings,1,,Passed,Nirupama Venkataraman,5/25/2023 9:52 PM,Regression,
37,T30141172,Verify Download functionality will be suppress for Ad-Lite users,,C2602562,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,GQA-2646,Regression P0s,Fire Tablet,R110847,Download Business Rules,1,,Passed,Nirupama Venkataraman,5/25/2023 7:52 PM,Regression,
38,T30141166,Online user is able to watch downloaded content,,C2489816,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,GQA-2031,Regression P0s,Fire Tablet,R110847,Downloads Playback,1,,Passed,Nirupama Venkataraman,5/25/2023 9:33 PM,Regression,
39,T30141165,Offline user is able to watch the downloaded content,,C2489815,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,GQA-2031,Regression P0s,Fire Tablet,R110847,Downloads Playback,1,,Passed,Nirupama Venkataraman,5/25/2023 9:35 PM,Regression,
40,T30141168,User Can Download Content From the Asset Details Page if not Blacklisted,,C2490893,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
iPad
M1 Mac
M2 Mac
iPhone",P0,"GQA-2307, GQA-2309, GQA-2063",Regression P0s,Fire Tablet,R110847,Downloading an Asset,1,,Passed,Nirupama Venkataraman,5/25/2023 9:34 PM,Regression,
41,T30141163,Geo error message When User Launch App in 'Not Permitted Territory',Abinaya Ayyappasamy,C2481422,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2250,Regression P0s,Fire Tablet,R110847,Site Selection & EEA Portability,1,,Passed,Abinaya Ayyappasamy,5/26/2023 3:27 AM,Regression,
42,T30141158,Authenticated user can get search results,,C2478647,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2100, GQA-2175, GQA-2165, GQA-2102, GQA-2174",Regression P0s,Fire Tablet,R110847,Search Core,1,,Passed,Nirupama Venkataraman,5/25/2023 9:52 PM,Regression,
43,T30141159,Authenticated user on a kidâ€™s profile can get search results,,C2478648,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2639, GQA-2737, GQA-2618",Regression P0s,Fire Tablet,R110847,Search Core,1,,Passed,Nirupama Venkataraman,5/25/2023 9:52 PM,Regression,
44,T30141196,Deep Link to Home page for unauth user,Gunda Gupta,C2624286,,GCX-25596,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Web
Android TV
iPad
iPhone",P0,GQA-1994,Regression P0s,Fire Tablet,R110847,Deep Links,1,,Failed,Gunda Gupta,5/26/2023 3:30 AM,Regression,1.0.2.5
45,T30141197,Deep Link to Home page for signed user,Gunda Gupta,C2624321,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Web
Android TV
iPad
iPhone",P0,GQA-1994,Regression P0s,Fire Tablet,R110847,Deep Links,1,,Passed,Gunda Gupta,5/26/2023 3:39 AM,Regression,
46,T30141154,Standard profile user-Validate Account page,,C2478614,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2006,Regression P0s,Fire Tablet,R110847,Account Page,1,,Passed,Nirupama Venkataraman,5/25/2023 10:15 PM,Regression,
47,T30141155,Kids profile user-Validate Account page,,C2478615,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2006,Regression P0s,Fire Tablet,R110847,Account Page,1,,Passed,Nirupama Venkataraman,5/25/2023 10:16 PM,Regression,
48,T30141187,Authenticated user can able to access Manage devices from Account tab,,C2620873,,,,,,Android OD 5/25+,R110844,"Android
Fire Tab
Web
iPad
iPhone",P0,GQA-2592,Regression P0s,Fire Tablet,R110847,Account Page,1,,Passed,Nirupama Venkataraman,5/25/2023 10:17 PM,Regression,
49,T30141199,Standard Profile Creation,,C2653506,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2069, GQA-2248, GQA-2064",Regression P0s,Fire Tablet,R110847,User Profiles,1,,Passed,Nirupama Venkataraman,5/25/2023 9:54 PM,Regression,
50,T30141200,Kids Profile Creation and Validation of content,,C2653507,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2274,Regression P0s,Fire Tablet,R110847,User Profiles,1,,Passed,Nirupama Venkataraman,5/25/2023 10:00 PM,Regression,
51,T30141201,PIN Validation,Abinaya Ayyappasamy,C2653508,,,,,,Android OD 5/25+,R110844,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2788, GQA-2805",Regression P0s,Fire Tablet,R110847,User Profiles,1,,Passed,Abinaya Ayyappasamy,5/26/2023 3:24 AM,Regression,
